 Score: %d of %d%13s%s%1s	 分數：%d / %d%13s%s%1s
Sooo... this is Roger Wilco, the man I have been sent across the universe to track down and terminate. I am not impressed. You were too easy to find. You tend to leave a mess wherever you go.	哦……原來這就是羅傑·威爾科，那個我千里迢迢跨越宇宙前來追殺的傢伙。沒什麼好印象。你太好找了，走到哪都留下一團爛攤子。
Seems you forgot to pay for that Labionian Terror Beast mating call whistle. Now let's see ... with interest that comes to 400,000 buckazoids. I don't think you've got that kind of cash on you Hmm? No... I didn't think so.	看來你忘了付那支拉比翁恐怖獸求偶哨的錢。讓我算算……連本帶利一共是四十萬元太空幣。我猜你身上沒帶這麼多現金吧？嗯？沒有……我猜也是。
The good people at the Gippazoid Novelty Co. are most displeased. Nonpayment is a serious offense.	吉帕佐德新奇玩意公司的好心員工們可不太高興。賴帳可是重罪。
But lucky for you I'm in a good mood today. I will count to ten real slow then I track you down. If you make it to your ship I forget I see you. But if I catch you again..... I dust you like bundt cake.	但算你走運，我今天心情不錯。我會慢慢數到十，之後才追你。你要是趕得回船上，我就當沒看見你。但要是再讓我逮到你……我就把你磨成邦特蛋糕上的糖粉。
You realize how ridiculous you look and remove the hat.	你意識到自己戴著這頂帽子有多蠢，於是把它摘了下來。
Just Ahead! Visit the Mog Memorial and the galaxy famous World O' Wonders	前方不遠！造訪莫格紀念碑，以及銀河知名的「奇觀世界」
You're not close enough.	你離得不夠近。
Yes, that's a sign.	沒錯，那是塊告示牌。
You see sand, mountains in the distance, and a sign.	你看見沙地、遠方的山脈，還有一塊告示牌。
You see large sand dunes, but that's about it.	你看見大片沙丘，僅此而已。
You see several large sand dunes, and a few worn rocks.	你看到幾座大沙丘，還有一些風化的岩石。
There are unusually steep sand dunes here which have formed a deep hole.	這裡的沙丘異常陡峭，形成了一個深洞。
You are startled by the sight of a giant beast just beyond the sand dune to the north.	你被北方沙丘另一端一隻巨獸的身影嚇了一跳。
Your fear turns to curiosity as you realize that it is not a real beast but a mechanical creation. Although it still looks dangerous, you can't decide whether to blast off this rock or inspect further the wonders of Phleebhut.	你的恐懼轉為好奇，因為你發現那不是真的野獸，而是機械造物。雖然看起來還是很危險，你猶豫著該一走了之，還是繼續探索弗利布特的奇景。
There are fewer rocks and more sand in this area.	這一帶岩石較少，沙子較多。
Just another bizarre rock formation pay it no mind.	只是又一個怪異的岩層，別理它。
Yes, there's a large hole in the rock formation.	沒錯，岩層上有個大洞。
Your ship is resting on a sandy spot between several large rocks. It looks like your automated landing system has done a remarkable job.	你的太空船停在幾塊大岩石間的沙地上。看來你的自動降落系統表現得相當不錯。
You proudly look upon your newly acquired spacecraft, the Aluminum Mallard. Truly a fine piece of jun...uh.. machinery.	你驕傲地端詳著新到手的太空船——鋁製野鴨號。真是一件精緻的破。..呃，機械傑作。
Your feet will take you wherever you want to go in most cases.	大部分時候，你的雙腳能帶你去任何想去的地方。
As you step out of your ship onto the surface of Phleebhut, you are hit in the face by the harsh winds. It looks like a storm is brewing.	你踏出太空船，踩上弗利布特的地表，一陣強風迎面撲來。看來風暴要來了。
Meanwhile...another spacecraft touches down elsewhere on the very same planet.	與此同時……另一艘太空船在同一顆星球的別處降落。
Strange rock formations rise up from the sand dunes. "What a desolate place this is," you think to yourself.	奇特的岩層從沙丘中拔地而起。「這地方真是荒涼啊，」你心想。
This has got to be the strangest array of rock formations you've ever seen.	這絕對是你見過最詭異的岩層排列。
The dunes rise and fall across the horizon with all the curves of a beautiful moon maiden.	沙丘在地平線上起伏綿延，曲線優美得像個月宮仙子。
You see a hole through one of the rocks.	你看到其中一塊岩石上有個洞。
In this day and age it would be wise to leave alien holes alone.	這年頭，還是別亂碰外星洞穴比較明智。
You are surrounded by sand and rocks.	你被沙子和岩石包圍著。
It's a hole all right.	沒錯，就是個洞。
There are many rocks here.	這裡有很多岩石。
The terminator is now a pile of junk lying on the sand under the pustules. %s	終結者現在成了一堆廢鐵，倒在膿包下方的沙地上。%s
All you see are footsteps.	你只看到一些腳印。
You see several large rocks here. One rock has a large overhang, and almost appears to be a cave. Under the overhang, you see several large, pulsating pods.	你看到這裡有幾塊大岩石。其中一塊岩石有很大的懸壁，幾乎像個洞穴。懸壁下方，你看到幾個正在搏動的巨大莢囊。
For a brief moment, you could swear they were just a bunch of dancing raisins. But, a closer look indicates otherwise. The leech-like creatures appear to have connected themselves to this overhang with a gelatinous adhesive secretion. YUCK! 	有那麼一瞬間，你敢發誓那只是一堆在跳舞的葡萄乾。但仔細一看，事情並非如此。這些像水蛭的生物似乎用一種黏糊糊的分泌物把自己黏在懸壁上。噁！ 
The most interesting rock here has a large overhang.	這裡最有意思的岩石有個很大的懸壁。
Underneath the top of the overhang, you see several large, pulsating pod-like pustules.	懸壁頂端下方，你看到幾個正在搏動的莢囊狀膿包。
You talk to the pods, but all you get in return are some soft squishy sounds.	你對這些莢囊說話，得到的只有一些黏糊糊的擠壓聲。
You have no way of doing that.	你沒有辦法做到這件事。
You can't reach them from here.	你從這裡碰不到它們。
You don't like heights much.	你不太喜歡高處。
You don't have the proper implement.	你沒有適合的工具。
The robot might have something to say about that.	那個機器人對此恐怕會有意見。
Try approaching from a slightly different angle.	試著換個角度靠近看看。
That's a mighty big snake!	那條蛇還真是大條！
They sure grow them big here, don't they!	這裡的東西還真養得夠大隻的，是吧！
You sure wish you had one like that.	你真希望自己也能有一條那樣的。
I think that may be his intent.	我想那可能正是他的用意。
You left your Mark XII heavy duty, phased laser, pulsed neutron, blaster in your underwear drawer.	你把你的 Mark XII 重型相位雷射脈衝中子爆能槍，忘在內褲抽屜裡了。
Gee,that's a very good idea.	哦，這主意真不錯。
The only snake food here is you!	這裡唯一的蛇食就是你！
You say howdy, but all you get is a hiss in return.	你打了聲招呼，換來的只有一聲嘶嘶叫。
You've been getting some mighty strange ideas from playing 'KQ II', haven't you? You loose 5 points.	玩了《KQ II》讓你冒出一堆奇怪的念頭，是吧？你扣了 5 分。
You do have a charming personality, but I don't think that's going to cut it.	你的個性是挺迷人啦，但我想這招應該行不通。
You see a flat expanse of desert and mountains to the north.	你看到北方是一片平坦的沙漠與山脈。
A range of craggy peaks appear on the horizon to the north. Occasionally, one is struck by lightning.	北方地平線上出現一列嶙峋的山峰，偶爾有一座會被閃電擊中。
The sky is alive with electrical activity as large ominous clouds make their way across the darkened sky.	天空電光四射，大片不祥的烏雲在陰暗的天幕中翻湧而過。
It seems like this entire planet is one vast expanse of desert. About all you see is sand and rocks.	這整顆星球似乎都是一片廣袤的沙漠。目所能及幾乎只有沙子和岩石。
The ground beneath your feet is composed of an unusually colored sand. Other than it's bizzare coloration, you have no other interest in it. However... as you expectorate a mouthful of the wind blown sand you briefly reminisce about your adventure on Kerona (SQ I ).	你腳下的地面是一種顏色古怪的沙子。除了那詭異的色澤，你對它沒別的興趣。不過……當你吐出滿嘴被風吹來的沙子時，你不禁想起了在克羅納星（宇宙傳奇 I）的那段冒險。
You notice flashes of lightning to the north. You hope it doesn't move this way.	你注意到北方閃過陣陣閃電，希望它別朝這邊移動過來。
